Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/content/quizzes/,21,0,15,19.818833327874366,8.25559999793768,86.49309998145327,36581.04761904762,0.35936536011367154,0.0,15,16,16,17,20,46,86,86,86,86,86
POST,/content/quizzes/,11,0,19,25.08187273369086,10.008600016590208,78.32430000416934,50.0,0.18823899815478035,0.0,19,21,24,24,38,78,78,78,78,78,78
GET,/content/quizzes/{id},23,0,11,11.617273904646382,9.50290000764653,19.09629994770512,359.4347826086956,0.3935906325054498,0.0,11,11,12,12,17,18,19,19,19,19,19
PUT,/content/quizzes/{id},11,0,20,19.735081814525817,17.044899985194206,25.039499974809587,41.0,0.18823899815478035,0.0,20,21,21,21,22,25,25,25,25,25,25
POST,/stage/participants,190,0,15,18.529967370283742,3.237100027035922,53.910400019958615,52.0,3.2514008772189333,0.0,16,22,28,30,38,43,44,51,54,54,54
GET,/stage/rooms,194,0,21,31.989487113680728,3.8976999931037426,173.94800001056865,2188.0,3.3198514220024897,0.0,22,33,45,49,69,79,150,170,170,170,170
POST,/stage/rooms/,4,0,11,40.44807500031311,9.531699994113296,84.27569997729734,53.0,0.06845054478355649,0.0,57,57,84,84,84,84,84,84,84,84,84
GET,/stage/rooms/verify/{join_code},8,0,8,17.968137508432847,6.657999998424202,48.85020002257079,57.0,0.13690108956711297,0.0,8,13,44,44,49,49,49,49,49,49,49
GET,/stage/rooms/{id},268,0,12,17.62255671765975,3.4709000028669834,162.76259999722242,546.1305970149253,4.586186500498285,0.0,12,18,23,26,35,44,52,54,160,160,160
GET,/stage/rooms/{id}/participants,26,0,8,8.131976917726346,3.261999983806163,13.287400011904538,723.6923076923077,0.4449285410931172,0.0,8,8,8,9,12,13,13,13,13,13,13
POST,/users/login,10,0,94,113.51819999399595,68.7253000214696,235.29809998581186,160.0,0.17112636195889122,0.0,100,110,130,140,240,240,240,240,240,240,240
GET,/users/me,18,0,9,9.196883332656903,5.403200048021972,12.920800014398992,117.0,0.3080274515260042,0.0,9,9,10,11,12,13,13,13,13,13,13
WebSocket,WS Connect,190,0,11,14.663157894736843,2,149,0.0,3.2514008772189333,0.0,11,16,21,23,28,34,37,39,150,150,150
WebSocket,WS Ping,2924,0,0,0.03967168262653899,0,2,0.0,50.03734823677979,0.0,0,0,0,0,0,0,1,1,1,2,2
,Aggregated,3898,0,0,5.219490379764182,0,235.29809998581186,354.3804515135967,66.7050558915758,0.0,0,0,2,8,17,30,45,65,170,240,240
