Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size

1789483873,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0

1789483874,15,,Aggregated,0.000000,0.000000,10,14,16,18,21,25,37,40,40,40,40,75,0,10,10.897069333462666,0,39.509099966380745,557.04

1789483875,30,,Aggregated,0.000000,0.000000,16,22,26,32,50,69,86,130,140,140,140,147,0,16,21.106232654382506,0,135.77439996879548,793.8163265306123

1789483876,45,,Aggregated,75.000000,0.000000,15,24,27,31,43,54,78,86,140,140,140,229,0,15,19.299827948769792,0,135.77439996879548,694.4978165938865

1789483877,60,,Aggregated,65.500000,0.000000,13,20,24,27,38,53,76,86,140,140,140,308,0,13,17.323160390168514,0,135.77439996879548,643.5194805194806

1789483878,75,,Aggregated,71.666667,0.000000,12,18,22,25,33,48,76,92,140,140,140,395,0,12,16.053105063728186,0,135.77439996879548,698.5417721518987

1789483879,105,,Aggregated,74.750000,0.000000,13,20,26,31,42,69,140,160,240,240,240,485,0,13,20.295141650383965,0,235.29809998581186,651.6845360824742

1789483880,120,,Aggregated,75.200000,0.000000,12,19,24,27,40,54,120,150,240,240,240,585,0,12,18.589169402603602,0,235.29809998581186,674.7213675213675

1789483881,135,,Aggregated,71.333333,0.000000,10,17,21,25,38,50,92,150,240,240,240,682,0,10,16.750020674865453,0,235.29809998581186,636.3519061583578

1789483882,150,,Aggregated,79.142857,0.000000,9,14,19,23,35,47,86,140,240,240,240,788,0,9,15.077145812508821,0,235.29809998581186,650.3172588832488

1789483883,165,,Aggregated,83.000000,0.000000,8,13,17,21,33,44,83,140,240,240,240,898,0,8,13.88293786266381,0,235.29809998581186,615.521158129176

1789483884,180,,Aggregated,84.777778,0.000000,8,13,18,21,32,44,78,130,170,240,240,1004,0,8,13.695525399134661,0,235.29809998581186,593.6294820717131

1789483885,195,,Aggregated,86.800000,0.000000,8,14,20,24,37,50,78,120,170,240,240,1127,0,8,14.60635856321179,0,235.29809998581186,598.6663708961846

1789483886,200,,Aggregated,88.700000,0.000000,8,14,20,25,37,49,76,110,170,240,240,1261,0,8,14.44799833523603,0,235.29809998581186,567.1181601903252

1789483887,200,,Aggregated,93.900000,0.000000,8,13,20,24,36,48,76,100,170,240,240,1330,0,8,13.891300977902361,0,235.29809998581186,548.9902255639098

1789483888,200,,Aggregated,97.400000,0.000000,7,13,19,23,35,46,72,100,170,240,240,1384,0,7,13.383338800977008,0,235.29809998581186,554.6423410404624

1789483889,200,,Aggregated,98.700000,0.000000,6,12,18,22,34,46,72,94,170,240,240,1448,0,6,12.83265372961007,0,235.29809998581186,531.4261049723757

1789483890,200,,Aggregated,96.300000,0.000000,6,11,17,21,33,46,71,94,170,240,240,1496,0,5,12.420910829194774,0,235.29809998581186,514.375

1789483891,200,,Aggregated,97.400000,0.000000,5,11,17,21,32,45,69,92,170,240,240,1558,0,5,11.968246919466111,0,235.29809998581186,519.1341463414634

1789483892,200,,Aggregated,90.400000,0.000000,4,10,16,20,32,44,69,92,170,240,240,1616,0,4,11.53993112656448,0,235.29809998581186,500.50185643564356

1789483893,200,,Aggregated,84.800000,0.000000,2,10,16,20,32,44,69,92,170,240,240,1660,0,2,11.243349277455337,0,235.29809998581186,488.05120481927713

1789483894,200,,Aggregated,80.600000,0.000000,0,9,14,19,31,44,69,86,170,240,240,1744,0,0,10.737693406277018,0,235.29809998581186,465.82798165137615

1789483895,200,,Aggregated,75.800000,0.000000,0,9,14,18,31,43,66,85,170,240,240,1803,0,0,10.411412590444945,0,235.29809998581186,451.1087077093733

1789483896,200,,Aggregated,71.900000,0.000000,0,9,13,18,30,43,66,85,170,240,240,1860,0,0,10.108327419648537,0,235.29809998581186,438.1983870967742

1789483897,200,,Aggregated,68.700000,0.000000,0,8,13,17,30,42,65,84,170,240,240,1915,0,0,9.853589765310005,0,235.29809998581186,445.21618798955615

1789483898,200,,Aggregated,62.600000,0.000000,0,8,12,17,29,41,63,84,170,240,240,1972,0,0,9.594457302537215,0,235.29809998581186,433.1024340770791

1789483899,200,,Aggregated,58.500000,0.000000,0,8,12,16,29,41,62,83,170,240,240,2032,0,0,9.34286112235639,0,235.29809998581186,456.8937007874016

1789483900,200,,Aggregated,58.600000,0.000000,0,8,11,16,28,41,61,83,170,240,240,2085,0,0,9.111063213723018,0,235.29809998581186,445.5400479616307

